Name,Notes,Address,State,UID,Latitude,Longitude,img,no_img
洪仙宮,,"B85, Jalan Indah 5/14, Taman Bukit indah, 81200 Johor Bahru",Johor,A186,1.483253,103.6434183,,
水尾聖娘,62年歷史 / 皇后黃梨場第一間廟,"Jalan Tun Teja, Skudai, 81300 Johor Bahru",Johor,A187,1.5248347,103.6668347,,
福德廟,,"120, Jalan Seri Orkid 15, Taman Seri Orkid, 81300 Skudai, Johor",Johor,A188,1.5112238,103.6424215,,
天樂宮神廟,,"Taman Selesa Jaya, 81300 Skudai, Johor",Johor,A189,1.489736,103.634924,,
大學城關帝廟 Guan Ti Temple Taman U,,"PTD ： 62501, Jalan Kejayaan 8, Taman Universiti, 81300 Skudai, Johor",Johor,A190,1.5295636,103.6272827,,
二郎神廟,,"Jalan Kebangsaan 29, Taman Universiti, 81300 Skudai, Johor",Johor,A191,1.5330556,103.629994,,
鰲峰宮， 保生大帝,,"Taman Sutera Utama , 81300 Skudai, Johor",Johor,A192,1.512862,103.664862,,
拿督公廟,,"Jalan Tun Teja, Skudai 81300 Johor Bahru, Johor",Johor,A193,1.5248347,103.6668347,,
洪仙大帝,,"60-55 , Jalan Tun Teja, Skudai 81300 Johor Bahru, Johor",Johor,A194,1.5225426,103.670205,,
皇后八里半乾坤宮仙師公，鬼谷子先師廟,,,Johor,A195,0,0,,
三山國王廟,,"46, Jalan Jambu, Kampung Melayu, Kangkar Pulai, 81100 , Johor",Johor,A196,1.5580953,103.5932376,,
皇后花园法主公宫,,"Jalan Bentara 9, Taman Ungku Tun Aminah, 81300 Skudai, Johor",Johor,A197,1.5168339,103.6610933,,
士古来玉旨敕封三教中佛殿,,"29, Jalan Impian Emas 22, Taman Impian Emas, 81300 Skudai, Johor",Johor,A198,1.5360012,103.6720518,,
圆观堂,,"54, Jalan Ronggeng 19, Taman Nesa, 81300 Skudai, Johor.",Johor,A199,1.5271407,103.6576497,,
武天宫 Wu Tian Gong,,"4, Jalan Ceria 19, Taman Nusa Indah, 81200 Johor Bahru, Johor",Johor,A200,1.4771876,103.6330085,,
慈濟 Buddhist Tzu Chi Foundation Malaysia (Johor Bahru),,"3, Jalan Jaguh 1, Taman Harmoni 2, 81300 Skudai, Johor",Johor,A201,1.5266668,103.6493526,,
Buddhist Tzu Chi Foundation Malaysia (Johor Bahru) 慈濟,,"3, Jalan Jaguh 1, Taman Harmoni 2, 81300 Skudai, Johor",Johor,A202,1.5266668,103.6493526,,
武天宫,,"4, Jalan Ceria 19, Taman Nusa Indah, 81200 Johor Bahru, Johor",Johor,A203,1.4771876,103.6330085,,
弥陀之家东林寺,,"No 18, Jalan Pertama 4, Pusat Perdagangan Danga Utama, Johor",Johor,A204,1.5190766,103.678989,,
圆观堂,,"54, Jalan Ronggeng 19, Taman Nesa, 81300 Skudai, Johor",Johor,A205,1.5271407,103.6576497,,
金刚寺,,"No. 2, Jalan Temenggong 9, Taman Ungku Tun Aminah, 81300 Skudai, Johor",Johor,A206,1.5104369,103.653161,,
仙靈廟,,Jementah,Johor,A207,2.440059,102.6851551,,
皇后花园法主公宫,,"Jalan Bentara 9, Taman Ungku Tun Aminah, 81300 Skudai, Johor",Johor,A208,1.5168339,103.6610933,,
慈濟,,"3, Jalan Jaguh 1, Taman Harmoni 2, 81300 Skudai, Johor",Johor,A209,1.5266668,103.6493526,,
武天宫 Wu Tian Gong,,"4, Jalan Ceria 19, Taman Nusa Indah, 81200 Johor Bahru, Johor",Johor,A210,1.4771876,103.6330085,,
圆观堂,,"54, Jalan Ronggeng 19, Taman Nesa, 81300 Skudai, Johor.",Johor,A211,1.5271407,103.6576497,,
